"","candidate_name","division_name","division_id","incumbent","year","state","candidate_party","vote_count","fp_vote_share","swing","last_name"
"1","Stephen Iacono","BANKS",1,0,1998,"NSW","Lib","24,744",33.8,"  (-05.7)","IACONO"
"2","Phillip Maddison","BANKS",0,0,1998,"NSW","ON","8,010",10.9,NA,"MADDISON"
"3","Bill Chen","BANKS",0,0,1998,"NSW","Unity","2,250",3.1,NA,"CHEN"
"4","Greg Archer","BANKS",0,0,1998,"NSW","Grn","1,075",1.5,NA,"ARCHER"
"5","Alison Bailey","BANKS",0,0,1998,"NSW","AD","3,128",4.3,"  (-03.3)","BAILEY"
"6","Daryl Melham","BANKS",0,1,1998,"NSW","ALP","32,599",44.5,"  (+01.0)","MELHAM"
"7","Brian Grigg","BANKS",0,0,1998,"NSW","CDP","1,422",1.9,NA,"GRIGG"
"8","Robert McClelland","BARTON",2,1,1998,"NSW","ALP","37,382",49.6,"  (+01.2)","MCCLELLAND"
"9","Lin Tang","BARTON",0,0,1998,"NSW","Unity","3,182",4.2,NA,"TANG"
"10","Adam Nelson","BARTON",0,0,1998,"NSW","Grn","1,161",1.5,NA,"NELSON"
"11","James Jordan","BARTON",0,0,1998,"NSW","Lib","26,430",35.1,"  (-06.1)","JORDAN"
"12","Neil Baird","BARTON",0,0,1998,"NSW","ON","5,162",6.8,NA,"BAIRD"
"13","Craig Chung","BARTON",0,0,1998,"NSW","AD","2,028",2.7,"  (-02.7)","CHUNG"
"14","Jamie Parker","BENNELONG",3,0,1998,"NSW","Grn","2,306",3.1,"  (+00.6)","PARKER"
"15","Gordon King","BENNELONG",0,0,1998,"NSW","ON","3,099",4.1,NA,"KING"
"16","Hon John Howard","BENNELONG",0,1,1998,"NSW","Lib","36,976",49.2,"  (-04.6)","HOWARD"
"17","Julien Droulers","BENNELONG",0,0,1998,"NSW",NA,NA,0.2,NA,"DROULERS"
"18","David Lung","BENNELONG",0,0,1998,"NSW",NA,"1,319",1.8,NA,"LUNG"
"19","Tim Carr","BENNELONG",0,0,1998,"NSW",NA,NA,0.2,NA,"CARR"
"20","Marcus Aussie-Stone","BENNELONG",0,0,1998,"NSW",NA,NA,0.1,NA,"AUSSIE-STONE"
"21","Bob Springett","BENNELONG",0,0,1998,"NSW","AD","3,504",4.7,"  (-01.6)","SPRINGETT"
"22","Prime Piss","BENNELONG",0,0,1998,"NSW",NA,NA,0.2,NA,"PISS"
"23","Sarah Kemp","BENNELONG",0,0,1998,"NSW","Unity","2,923",3.9,NA,"KEMP"
"24","William Gollan","BENNELONG",0,0,1998,"NSW",NA,NA,0.5,NA,"GOLLAN"
"25","John Dawson","BENNELONG",0,0,1998,"NSW",NA,NA,0.2,NA,"DAWSON"
"26","Wendy Mahon","BENNELONG",0,0,1998,"NSW","ALP","23,929",31.9,"  (-00.3)","MAHON"
"27","Wayne Stewart","BEROWRA",4,0,1998,"NSW","ON","4,788",6,NA,"STEWART"
