"","division_name","state","year","last_name","tcp_vote_share","candidate_name.y","incumbent","candidate_party","vote_count","fp_vote_share"
"1","BANKS","NSW",1998,"MELHAM","   57.1","Daryl Melham",1,"ALP","32,599",44.5
"2","BANKS","NSW",1998,"IACONO","   42.9","Stephen Iacono",0,"Lib","24,744",33.8
"3","BARTON","NSW",1998,"JORDAN","   40.2","James Jordan",0,"Lib","26,430",35.1
"4","BARTON","NSW",1998,"MCCLELLAND","   59.8","Robert McClelland",1,"ALP","37,382",49.6
"5","BENNELONG","NSW",1998,"MAHON","   44.0","Wendy Mahon",0,"ALP","23,929",31.9
"6","BENNELONG","NSW",1998,"HOWARD","   56.0","Hon John Howard",1,"Lib","36,976",49.2
"7","BEROWRA","NSW",1998,"MCCARROLL","   36.5","Nola McCarroll",0,"ALP","21,763",27.4
"8","BEROWRA","NSW",1998,"RUDDOCK","   63.5","Hon Philip RUDDOCK",1,"Lib","43,180",54.4
"9","BLAXLAND","NSW",1998,"SHELLEY","   27.9","Maureen Shelley",0,"Lib","15,649",21.8
"10","BLAXLAND","NSW",1998,"HATTON","   72.1","Michael HATTON",1,"ALP","44,096",61.4
"11","BRADFIELD","NSW",1998,"KAILAINATHAN","   26.8","Nadesu Kailainathan",0,"ALP","13,937",18.8
"12","BRADFIELD","NSW",1998,"NELSON","   73.2","Dr Brendan NELSON",1,"Lib","47,725",64.4
"13","CALARE","NSW",1998,"CORKIN","   27.7","Terence Corkin",0,"ALP","17,425",23.9
"14","CALARE","NSW",1998,"ANDREN","   72.3","Peter Andren",1,NA,"29,522",40.5
"15","CHARLTON","NSW",1998,"GATGENS","   37.0","Bruce Gatgens",0,"Lib","22,175",27.6
"16","CHARLTON","NSW",1998,"HOARE","   63.0","Kelly Hoare",0,"ALP","39,604",49.3
"17","CHIFLEY","NSW",1998,"PRICE","   70.9","Hon Roger PRICE",1,"ALP","43,496",59.3
"18","CHIFLEY","NSW",1998,"COLES","   29.1","John Coles",0,"Lib","14,485",19.7
"19","COOK","NSW",1998,"YOUNG","   41.1","Peri Young",0,"ALP","22,850",30.9
"20","COOK","NSW",1998,"BAIRD","   58.9","Hon Bruce BAIRD",0,"Lib","37,075",50.2
"21","COWPER","NSW",1998,"NEHL","   56.4","Garry Nehl",1,"NPA","30,810",42
"22","COWPER","NSW",1998,"SEKFY","   43.6","Paul Sekfy",0,"ALP","24,213",33
"23","CUNNINGHAM","NSW",1998,"AKHURST","   31.8",NA,NA,NA,NA,NA
"24","CUNNINGHAM","NSW",1998,"MARTIN","   68.2",NA,NA,NA,NA,NA
"25","DOBELL","NSW",1998,"PARKER","   46.7","David Parker",0,"Lib","29,103",37.8
